,taxon_name_w_authors,v10_11_12_13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
620240,"Hordeum vulgare var. subpyramidatum Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yaros",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620241,"Hordeum vulgare var. addis-abebae Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620242,"Hordeum vulgare var. ancoberense Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620243,"Hordeum vulgare var. chalunicum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620244,"Hordeum vulgare var. glabribrevisetum Regel ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yaros",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620245,"Hordeum vulgare var. gobicum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620246,"Hordeum vulgare var. griseinigrum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620247,"Hordeum vulgare var. hadaka Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620248,"Hordeum vulgare var. kobdicum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620249,"Hordeum vulgare var. hypatherum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620250,"Hordeum vulgare var. latinudipyramidatum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620251,"Hordeum vulgare var. latirevelatum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620252,"Hordeum vulgare var. hangaicum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620253,Hordeum vulgare var. tetranutans Trofim. & Lukyanova,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620254,"Hordeum vulgare var. daghestanicum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620255,"Hordeum vulgare var. griseinudum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620256,"Hordeum vulgare var. insularum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620257,"Hordeum vulgare var. colonicum Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yaros",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620258,"Hordeum vulgare var. nigrinudum Vavilov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620259,"Hordeum vulgare var. subnudum Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yaros",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620260,"Hordeum vulgare var. subneogenes Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yaros",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620261,"Hordeum vulgare var. suberectum Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yaros",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620262,"Hordeum vulgare var. africanum Vavilov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620263,"Hordeum vulgare var. glabrideficiens Vavilov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620264,"Hordeum vulgare var. glabrierectum Vavilov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620265,"Hordeum vulgare var. leioheterolepis Vavilov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620266,"Hordeum vulgare var. palestinicum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620267,"Hordeum vulgare var. solitarum Vavilov & Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yarosh",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620268,"Hordeum vulgare var. subnutans Orlov ex Lukyanova, Trofim., G.N.Gudkova, Terentyeva & Yaros",Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620269,Hordeum vulgare var. macrosteron Alef.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620270,Hordeum vulgare var. hybernum Viborg,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620271,Hordeum vulgare var. aestivum Metzg. ex Alef.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620272,Hordeum vulgare var. coerulescens Ser.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620273,Hordeum polystichon var. hexastichon Döll,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620274,Hordeum barbaricum Risso,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620275,Hordeum latum Risso,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare L.,Hordeum vulgare,Hordeum vulgare subsp. vulgare,Hordeum vulgare
620806,Ischaemum stokesii F.Br.,Ischaemum murinum G.Forst.,Ischaemum murinum G.Forst.,Ischaemum murinum G.Forst.,Ischaemum murinum,Ischaemum stokesii F.Br.,Ischaemum stokesii
621011,Koeleria splendens subvar. subcaudata Asch. & Graebn.,Koeleria splendens C.Presl,Koeleria splendens C.Presl,Koeleria splendens C.Presl,Koeleria splendens,Koeleria subcaudata (Asch. & Graebn.) Ujhelyi,Koeleria subcaudata
621013,Koeleria splendens subsp. subcaudata (Asch. & Graebn.) Domin,Koeleria splendens C.Presl,Koeleria splendens C.Presl,Koeleria splendens C.Presl,Koeleria splendens,Koeleria subcaudata (Asch. & Graebn.) Ujhelyi,Koeleria subcaudata
621020,Koeleria splendens var. subcaudata (Asch. & Graebn.) Domin,Koeleria splendens C.Presl,Koeleria splendens C.Presl,Koeleria splendens C.Presl,Koeleria splendens,Koeleria subcaudata (Asch. & Graebn.) Ujhelyi,Koeleria subcaudata
621021,Koeleria subcaudata (Asch. & Graebn.) Ujhelyi,Koeleria splendens C.Presl,Koeleria splendens C.Presl,Koeleria splendens C.Presl,Koeleria splendens,Koeleria subcaudata (Asch. & Graebn.) Ujhelyi,Koeleria subcaudata
621346,Leymus salina subsp. mojavensis Barkworth & R.J.Atkins,Leymus ambiguus (Vasey & Scribn.) D.R.Dewey,Leymus ambiguus (Vasey & Scribn.) D.R.Dewey,Leymus ambiguus (Vasey & Scribn.) D.R.Dewey,Leymus ambiguus,Leymus salina subsp. mojavensis Barkworth & R.J.Atkins,Leymus salina
621348,Elymus ambiguus var. salmonis C.L.Hitchc.,Leymus ambiguus (Vasey & Scribn.) D.R.Dewey,Leymus ambiguus (Vasey & Scribn.) D.R.Dewey,Leymus ambiguus (Vasey & Scribn.) D.R.Dewey,Leymus ambiguus,Leymus salina subsp. salmonis (C.L.Hitchc.) R.J.Atkins,Leymus salina
621474,Elymus simplex Scribn. & T.A.Williams,Leymus triticoides (Buckley) Pilg.,Leymus triticoides (Buckley) Pilg.,Leymus triticoides (Buckley) Pilg.,Leymus triticoides,Leymus simplex (Scribn. & T.A.Williams) D.R.Dewey,Leymus simplex
621504,Elymus simplex var. luxurians Scribn. & T.A.Williams,Leymus triticoides (Buckley) Pilg.,Leymus triticoides (Buckley) Pilg.,Leymus triticoides (Buckley) Pilg.,Leymus triticoides,Leymus simplex (Scribn. & T.A.Williams) D.R.Dewey,Leymus simplex
621599,Lolium temulentum f. asperum (Asch.) Neuman,Lolium remotum Schrank,Lolium remotum Schrank,Lolium remotum Schrank,Lolium remotum,Lolium temulentum L.,Lolium temulentum
621983,Melica inaequiglumis Boiss.,Melica persica Kunth,Melica persica Kunth,Melica persica Kunth,Melica persica,Melica inaequiglumis Boiss.,Melica inaequiglumis
622317,Milium vernale subsp. intermedium Prob.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale,Milium vernale subsp. vernale,Milium vernale
622318,Milium vernale subsp. scabrum K.Richt.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale,Milium vernale subsp. vernale,Milium vernale
622319,Milium vernale subsp. tzvelevii Prob.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale,Milium vernale subsp. vernale,Milium vernale
622320,Milium vernale var. alexeenkoi Tzvelev,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale,Milium vernale subsp. vernale,Milium vernale
622321,Milium scabrum Rich.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale,Milium vernale subsp. vernale,Milium vernale
622322,Milium montianum Parl.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale,Milium vernale subsp. vernale,Milium vernale
622323,Milium intermedium (Prob.) Tzvelev,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale M.Bieb.,Milium vernale,Milium vernale subsp. vernale,Milium vernale
622674,Muhlenbergia gracilis var. enervis Scribn. ex Beal,Muhlenbergia quadridentata (Kunth) Trin.,Muhlenbergia quadridentata (Kunth) Trin.,Muhlenbergia quadridentata (Kunth) Trin.,Muhlenbergia quadridentata,Muhlenbergia montana (Nutt.) Hitchc.,Muhlenbergia montana
622678,Muhlenbergia enervis (Scribn. ex Beal) Hitchc.,Muhlenbergia quadridentata (Kunth) Trin.,Muhlenbergia quadridentata (Kunth) Trin.,Muhlenbergia quadridentata (Kunth) Trin.,Muhlenbergia quadridentata,Muhlenbergia montana (Nutt.) Hitchc.,Muhlenbergia montana
623185,Panicum hirticaule var. majus Andersson,Panicum alatum Zuloaga & Morrone,Panicum alatum Zuloaga & Morrone,Panicum alatum Zuloaga & Morrone,Panicum alatum,Panicum alatum var. minus (Andersson) Zuloaga & Morrone,Panicum alatum
623186,Panicum hirticaule var. minus Andersson,Panicum alatum Zuloaga & Morrone,Panicum alatum Zuloaga & Morrone,Panicum alatum Zuloaga & Morrone,Panicum alatum,Panicum alatum var. minus (Andersson) Zuloaga & Morrone,Panicum alatum
623187,Panicum alatum var. longiflorum Zuloaga & Morrone,Panicum alatum Zuloaga & Morrone,Panicum alatum Zuloaga & Morrone,Panicum alatum Zuloaga & Morrone,Panicum alatum,Panicum alatum var. alatum,Panicum alatum
623190,Panicum amarulum Hitchc. & Chase,Panicum amarum Elliott,Panicum amarum Elliott,Panicum amarum Elliott,Panicum amarum,Panicum amarum subsp. amarulum (Hitchc. & Chase) Freckmann & Lelong,Panicum amarum
623191,Panicum amarum subsp. amarulum (Hitchc. & Chase) Freckmann & Lelong,Panicum amarum Elliott,Panicum amarum Elliott,Panicum amarum Elliott,Panicum amarum,Panicum amarum subsp. amarulum (Hitchc. & Chase) Freckmann & Lelong,Panicum amarum
623192,Panicum amarum var. amarulum (Hitchc. & Chase) P.G.Palmer,Panicum amarum Elliott,Panicum amarum Elliott,Panicum amarum Elliott,Panicum amarum,Panicum amarum subsp. amarulum (Hitchc. & Chase) Freckmann & Lelong,Panicum amarum
623193,Panicum amarum var. minus Vasey & Scribn.,Panicum amarum Elliott,Panicum amarum Elliott,Panicum amarum Elliott,Panicum amarum,Panicum amarum subsp. amarum,Panicum amarum
623208,Yakirra australiensis var. intermedia R.D.Webster,Panicum australiense Domin,Panicum australiense Domin,Panicum australiense Domin,Panicum australiense,Panicum australiense var. intermedium (R.D.Webster) Zuloaga,Panicum australiense
623209,Panicum pauciflorum var. fastigiatum Benth.,Panicum australiense Domin,Panicum australiense Domin,Panicum australiense Domin,Panicum australiense,Panicum australiense var. australiense,Panicum australiense
623210,Panicum bergii f. convolutum R.A.Palacios,Panicum bergii Arechav.,Panicum bergii Arechav.,Panicum bergii Arechav.,Panicum bergii,Panicum bergii var. bergii,Panicum bergii
623211,Panicum bergii var. pilosissimum Zuloaga,Panicum bergii Arechav.,Panicum bergii Arechav.,Panicum bergii Arechav.,Panicum bergii,Panicum bergii var. pilosissimum Zuloaga,Panicum bergii
623212,Panicum burkartii Zuloaga,Panicum bergii Arechav.,Panicum bergii Arechav.,Panicum bergii Arechav.,Panicum bergii,Panicum bergii var. bergii,Panicum bergii
623213,Panicum pilcomayense Hack.,Panicum bergii Arechav.,Panicum bergii Arechav.,Panicum bergii Arechav.,Panicum bergii,Panicum bergii var. bergii,Panicum bergii
623244,Panicum striatissimum C.E.Hubb.,Panicum eickii Mez,Panicum eickii Mez,Trichanthecium eickii (Mez) Zuloaga,Trichanthecium eickii,Trichanthecium striatissimum (C.E.Hubb.) Zuloaga,Trichanthecium striatissimum
623267,Panicum flabellatum E.Fourn.,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule,Panicum hispidifolium Swallen,Panicum hispidifolium
623268,Panicum capillare var. glabrum Vasey ex Brandegee,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule,Panicum hirticaule var. hirticaule,Panicum hirticaule
623269,Panicum capillare var. miliaceum Vasey,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule,Panicum hirticaule var. hirticaule,Panicum hirticaule
623270,Panicum hirticaule var. glabrescens Andersson,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule,Panicum hirticaule var. hirticaule,Panicum hirticaule
623271,Panicum hirticaule var. verrucosum Zuloaga & Morrone,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule J.Presl,Panicum hirticaule,Panicum hirticaule var. verrucosum Zuloaga & Morrone,Panicum hirticaule
623309,Panicum rugulosum var. glabrescens Döll,Panicum millegrana Poir.,Panicum millegrana Poir.,Panicum millegrana Poir.,Panicum millegrana,Panicum sellowii Nees,Panicum sellowii
623316,Panicum beyrichii Kunth,Panicum millegrana Poir.,Panicum millegrana Poir.,Panicum millegrana Poir.,Panicum millegrana,Panicum sellowii Nees,Panicum sellowii
623327,Panicum proboscideum Trin.,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides,Panicum olyroides var. olyroides,Panicum olyroides
623335,Panicum olyroides var. denudatum Döll,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides,Panicum cervicatum Chase,Panicum cervicatum
623336,Panicum olyroides var. hirsutum Henrard,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides,Panicum olyroides var. hirsutum Henrard,Panicum olyroides
623337,Panicum macrospermum Willd. ex Spreng.,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides,Panicum olyroides var. olyroides,Panicum olyroides
623338,Panicum funckianum Steud.,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides Kunth,Panicum olyroides,Panicum olyroides var. olyroides,Panicum olyroides
623486,Ophiuros gracilis J.Gay,Parapholis filiformis (Roth) C.E.Hubb.,Parapholis filiformis (Roth) C.E.Hubb.,Parapholis filiformis (Roth) C.E.Hubb.,Parapholis filiformis,Parapholis strigosa (Dumort.) C.E.Hubb.,Parapholis strigosa
623525,Pariana zingiberina Rich. ex Döll,Pariana radiciflora Sagot ex Döll,Pariana radiciflora Sagot ex Döll,Pariana radiciflora Sagot ex Döll,Pariana radiciflora,Pariana zingiberina Rich. ex Döll,Pariana zingiberina
623541,Paspalum anemotum Ridl.,Paspalum arundinaceum Poir.,Paspalum arundinaceum Poir.,Paspalum arundinaceum Poir.,Paspalum arundinaceum,Paspalum ligulare Nees,Paspalum ligulare
623544,Paspalum phonoliticum Ridl.,Paspalum arundinaceum Poir.,Paspalum arundinaceum Poir.,Paspalum arundinaceum Poir.,Paspalum arundinaceum,Paspalum ligulare Nees,Paspalum ligulare
623545,Paspalum pleostachyum Döll,Paspalum arundinaceum Poir.,Paspalum arundinaceum Poir.,Paspalum arundinaceum Poir.,Paspalum arundinaceum,Paspalum ligulare Nees,Paspalum ligulare
623574,Paspalum dissectum Sw. ex Roem. & Schult.,Paspalum caespitosum Flüggé,Paspalum caespitosum Flüggé,Paspalum caespitosum Flüggé,Paspalum caespitosum,Paspalum blodgettii Chapm.,Paspalum blodgettii
624709,Poa acicularifolia subsp. ophitalis Edgar,Poa acicularifolia Buchanan,Poa acicularifolia Buchanan,Poa acicularifolia Buchanan,Poa acicularifolia,Poa acicularifolia subsp. ophitalis Edgar,Poa acicularifolia
624795,Poa polyphylla Hack.,Poa anceps G.Forst.,Poa anceps G.Forst.,Poa anceps G.Forst.,Poa anceps,Poa polyphylla Hack.,Poa polyphylla
624860,Poa bulbosa var. glabriflora Roshev.,Poa bulbosa L.,Poa bulbosa L.,Poa bulbosa L.,Poa bulbosa,Poa bactriana subsp. glabriflora (Roshev.) Tzvelev,Poa bactriana
624928,Poa langiana Rchb.,Poa compressa L.,Poa compressa L.,Poa compressa L.,Poa compressa,Poa langiana Rchb.,Poa langiana
625140,Poa porsildii Gjaerev.,Poa leibergii Scribn.,Poa leibergii Scribn.,Poa leibergii Scribn.,Poa leibergii,Poa porsildii Gjaerev.,Poa porsildii
625275,Poa palustris var. fertilis (Host) Rchb.,Poa nemoralis L.,Poa nemoralis L.,Poa nemoralis L.,Poa nemoralis,Poa palustris L.,Poa palustris
625504,Poa piperi Hitchc.,Poa rhizomata Hitchc.,Poa rhizomata Hitchc.,Poa rhizomata Hitchc.,Poa rhizomata,Poa piperi Hitchc.,Poa piperi
625511,Poa anfamensis Negritto & Anton,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula,Poa scaberula subsp. scaberula,Poa scaberula
625512,Dasypoa tenuis Pilg.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula,Poa scaberula subsp. scaberula,Poa scaberula
625514,Poa scaberula var. gracillima Speg.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula,Poa scaberula subsp. scaberula,Poa scaberula
625515,Poa parviceps Hack.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula,"Poa scaberula subsp. parviceps (Hack.) Finot, Giussani & Soreng",Poa scaberula
625516,Poa maullinica Phil.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula,Poa scaberula subsp. scaberula,Poa scaberula
625517,Poa micranthera Hack.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula,Poa scaberula subsp. scaberula,Poa scaberula
625518,Poa dactyliformis Steud.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula,Poa scaberula subsp. scaberula,Poa scaberula
625519,Poa conglomerata Rupr. ex Peyr.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula Hook.f.,Poa scaberula,Poa scaberula subsp. scaberula,Poa scaberula
625614,Poa unilateralis subsp. pachypholis (Piper) D.D.Keck ex Soreng,Poa unilateralis Scribn. ex Vasey,Poa unilateralis Scribn. ex Vasey,Poa unilateralis Scribn. ex Vasey,Poa unilateralis,Poa unilateralis subsp. pachypholis (Piper) D.D.Keck ex Soreng,Poa unilateralis
625615,Poa pachypholis Piper,Poa unilateralis Scribn. ex Vasey,Poa unilateralis Scribn. ex Vasey,Poa unilateralis Scribn. ex Vasey,Poa unilateralis,Poa unilateralis subsp. pachypholis (Piper) D.D.Keck ex Soreng,Poa unilateralis
625993,Ptilagrostis concinna subsp. schischkinii Tzvelev,Ptilagrostis concinna (Hook.f.) Roshev.,Ptilagrostis concinna (Hook.f.) Roshev.,Ptilagrostis concinna (Hook.f.) Roshev.,Ptilagrostis concinna,Ptilagrostis junatovii var. schischkinii (Tzvelev) M.Nobis & Krzempek,Ptilagrostis junatovii
625995,Stipa mongholica f. minor Krylov,Ptilagrostis junatovii Grubov,Ptilagrostis junatovii Grubov,Ptilagrostis junatovii Grubov,Ptilagrostis junatovii,Ptilagrostis junatovii var. junatovii,Ptilagrostis junatovii
626034,Glyceria distans var. pulvinata Fr.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans,Puccinellia capillaris subsp. pulvinata (Fr.) Tzvelev,Puccinellia capillaris
626078,Puccinellia distans subsp. borealis (Holmb.) W.E.Hughes,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans,Puccinellia capillaris subsp. capillaris,Puccinellia capillaris
626094,Puccinellia pulvinata (Fr.) V.I.Krecz.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans,Puccinellia capillaris subsp. pulvinata (Fr.) Tzvelev,Puccinellia capillaris
626095,Festuca capillaris Lilj.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans,Puccinellia capillaris (Lilj.) Jansen,Puccinellia capillaris
626097,Puccinellia retroflexa subsp. borealis Holmb.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans,Puccinellia capillaris subsp. capillaris,Puccinellia capillaris
626101,Puccinellia suecica (Holmb.) Holmb.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans,Puccinellia capillaris (Lilj.) Jansen,Puccinellia capillaris
626104,Phippsia nutkaensis subsp. borealis (Holmb.) Á.Löve & D.Löve,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans (Jacq.) Parl.,Puccinellia distans,Puccinellia capillaris subsp. capillaris,Puccinellia capillaris
626294,Atropis chathamica (Cheeseman) Cheeseman,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri,Puccinellia chathamica (Cheeseman) Allan & Jansen,Puccinellia chathamica
626296,Puccinellia chathamica (Cheeseman) Allan & Jansen,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri,Puccinellia chathamica (Cheeseman) Allan & Jansen,Puccinellia chathamica
626300,Puccinellia walkeri subsp. chathamica (Cheeseman) Edgar,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri,Puccinellia chathamica (Cheeseman) Allan & Jansen,Puccinellia chathamica
626301,Agrostis chathamica Cheeseman,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri,Puccinellia chathamica (Cheeseman) Allan & Jansen,Puccinellia chathamica
626319,Sucrea Soderstr.,Raddia Bertol.,Raddia Bertol.,Raddia Bertol.,,Sucrea Soderstr.,
626384,Aegialina Schult.,Rostraria Trin.,Rostraria Trin.,Rostraria Trin.,,Aegialina Schult.,
